state,year,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,yield
assam,1997,57802260.86,188280.98,22.41,1468.92,70.71,60,18,38,5.8,0.780869565
assam,1997,16652275.58,54241.94,22.41,1468.92,70.71,60,18,38,5.8,1.060434783
assam,1997,165911859.6,540429.51,22.41,1468.92,70.71,60,18,38,5.8,0.941304348
karnataka,1997,98170710.1,319774.3,23.55,894.16,69.61,72,42,25,6.9,2.2335
karnataka,1997,5128616.13,16705.59,23.55,894.16,69.61,72,42,25,6.9,2.073846154
karnataka,1997,25509747.48,83093.64,23.55,894.16,69.61,72,42,25,6.9,2.829444444
meghalaya,1997,10009028.9,32602.7,17.16,1954.46,77.31,52,16,33,5.6,1.378571429
west bengal,1997,40268425.57,131167.51,25.85,1564.19,72.28,85,40,45,6.2,1.837222222
west bengal,1997,114853915.9,374116.99,25.85,1564.19,72.28,85,40,45,6.2,2.843888889
west bengal,1997,406407115.8,1323801.68,25.85,1564.19,72.28,85,40,45,6.2,1.985555556
puducherry,1998,488566.0,1434.05,28.33,1124.51,75.47,88,55,40,7.0,2.46
puducherry,1998,1379346.8,4048.69,28.33,1124.51,75.47,88,55,40,7.0,2.555
puducherry,1998,564740.8,1657.64,28.33,1124.51,75.47,88,55,40,7.0,2.55
assam,1998,58783925.2,172543.91,22.98,1701.15,73.03,60,18,38,5.8,1.055652174
assam,1998,22122604.4,64934.77,22.98,1701.15,73.03,60,18,38,5.8,1.685217391
assam,1998,161560724.0,474216.7,22.98,1701.15,73.03,60,18,38,5.8,1.395652174
goa,1998,4050800.0,11890.0,27.35,2059.15,74.64,65,25,45,6.2,2.54
goa,1998,1525373.2,4477.31,27.35,2059.15,74.64,65,25,45,6.2,3.04
karnataka,1998,106624268.4,312965.97,23.73,1185.08,71.65,72,42,25,6.9,2.310740741
karnataka,1998,5116061.6,15016.78,23.73,1185.08,71.65,72,42,25,6.9,2.054285714
karnataka,1998,29228004.0,85790.7,23.73,1185.08,71.65,72,42,25,6.9,2.99375
kerala,1998,11877439.6,34862.93,27.03,2177.34,80.95,65,28,50,5.7,1.856923077
kerala,1998,5700760.0,16733.0,27.03,2177.34,80.95,65,28,50,5.7,2.116153846
kerala,1998,17261743.2,50667.06,27.03,2177.34,80.95,65,28,50,5.7,1.937142857
meghalaya,1998,10413717.6,30566.58,17.84,2370.96,79.73,52,16,33,5.6,1.51
west bengal,1998,41990197.6,123250.58,25.82,1537.71,75.28,85,40,45,6.2,1.751111111
west bengal,1998,143306732.4,420637.17,25.82,1537.71,75.28,85,40,45,6.2,3.22
west bengal,1998,398027656.0,1168299.8,25.82,1537.71,75.28,85,40,45,6.2,1.781666667
assam,1999,59137758.6,150449.4,23.26,1622.42,71.99,60,18,38,5.8,1.094782609
assam,1999,31271629.02,79556.58,23.26,1622.42,71.99,60,18,38,5.8,1.990434783
assam,1999,190396583.2,484378.38,23.26,1622.42,71.99,60,18,38,5.8,1.501304348
goa,1999,4298265.0,10935.0,27.09,1980.88,73.77,65,25,45,6.2,2.38
goa,1999,1720685.69,4377.51,27.09,1980.88,73.77,65,25,45,6.2,2.69
kerala,1999,12897448.25,32811.75,26.23,1758.79,81.79,65,28,50,5.7,2.081538462
kerala,1999,6157768.73,15665.67,26.23,1758.79,81.79,65,28,50,5.7,2.292857143
kerala,1999,18066297.64,45961.56,26.23,1758.79,81.79,65,28,50,5.7,2.097142857
meghalaya,1999,10876414.66,27670.14,18.37,2074.56,76.13,52,16,33,5.6,1.605714286
meghalaya,1999,416984.77,1060.83,18.37,2074.56,76.13,52,16,33,5.6,1.755714286
puducherry,1999,2700371.72,6869.88,27.74,923.63,75.11,88,55,40,7.0,2.61
west bengal,1999,45333960.15,115331.85,25.79,1737.63,72.95,85,40,45,6.2,1.868888889
west bengal,1999,156471491.9,398071.26,25.79,1737.63,72.95,85,40,45,6.2,2.897222222
west bengal,1999,450940639.0,1147215.42,25.79,1737.63,72.95,85,40,45,6.2,1.906666667
andhra pradesh,2000,294870578.4,780954.98,27.74,1070.25,70.73,78,45,22,6.8,2.7
andhra pradesh,2000,121637833.0,322153.78,27.74,1070.25,70.73,78,45,22,6.8,2.939090909
assam,2000,52978913.05,140312.9,22.37,1958.5,75.29,60,18,38,5.8,1.197826087
assam,2000,32322963.35,85606.3,22.37,1958.5,75.29,60,18,38,5.8,1.825217391
assam,2000,174473319.7,462086.82,22.37,1958.5,75.29,60,18,38,5.8,1.581304348
goa,2000,4024970.0,10660.0,26.95,1919.04,74.29,65,25,45,6.2,2.36
goa,2000,1591041.19,4213.82,26.95,1919.04,74.29,65,25,45,6.2,2.81
karnataka,2000,110004295.3,291342.74,23.21,1000.55,69.1,72,42,25,6.9,2.357407407
karnataka,2000,5105330.85,13521.3,23.21,1000.55,69.1,72,42,25,6.9,2.064615385
karnataka,2000,30520267.64,80831.92,23.21,1000.55,69.1,72,42,25,6.9,2.751304348
kerala,2000,12737753.84,33735.52,26.7,1397.09,79.3,65,28,50,5.7,1.938461538
kerala,2000,5424677.86,14367.08,26.7,1397.09,79.3,65,28,50,5.7,2.23
kerala,2000,15947225.65,42235.7,26.7,1397.09,79.3,65,28,50,5.7,2.042857143
meghalaya,2000,10077837.69,26690.82,17.52,2652.89,79.14,52,16,33,5.6,1.681428571
meghalaya,2000,392974.51,1040.78,17.52,2652.89,79.14,52,16,33,5.6,1.744285714
puducherry,2000,4199614.43,11122.54,27.95,962.02,74.78,88,55,40,7.0,2.605
west bengal,2000,38673482.48,102425.44,25.43,1422.94,74.38,85,40,45,6.2,1.648333333
west bengal,2000,137618731.0,364478.66,25.43,1422.94,74.38,85,40,45,6.2,3.021111111
west bengal,2000,357293445.5,946279.88,25.43,1422.94,74.38,85,40,45,6.2,1.876111111
andhra pradesh,2001,247774835.5,630778.98,28.08,910.13,68.69,78,45,22,6.8,2.627272727
andhra pradesh,2001,142846575.6,363655.24,28.08,910.13,68.69,78,45,22,6.8,3.025909091
assam,2001,50625636.74,128881.48,22.72,1808.2,74.66,60,18,38,5.8,1.120434783
assam,2001,33293052.31,84756.62,22.72,1808.2,74.66,60,18,38,5.8,1.806521739
assam,2001,175125987.7,445831.36,22.72,1808.2,74.66,60,18,38,5.8,1.600434783
goa,2001,3344348.98,8513.96,27.24,1335.38,72.83,65,25,45,6.2,2.41
goa,2001,1699136.81,4325.62,27.24,1335.38,72.83,65,25,45,6.2,2.85
karnataka,2001,111114069.7,282871.42,23.37,919.93,69.6,72,42,25,6.9,2.154814815
karnataka,2001,5461912.4,13904.8,23.37,919.93,69.6,72,42,25,6.9,1.840714286
karnataka,2001,28216170.01,71832.02,23.37,919.93,69.6,72,42,25,6.9,2.4368
kerala,2001,11902230.2,30300.4,26.63,2171.67,81.61,65,28,50,5.7,1.886923077
kerala,2001,4478400.5,11401.0,26.63,2171.67,81.61,65,28,50,5.7,2.151428571
kerala,2001,16542813.14,42114.28,26.63,2171.67,81.61,65,28,50,5.7,2.153571429
meghalaya,2001,11005630.93,28017.86,17.85,2427.05,78.14,52,16,33,5.6,1.751428571
puducherry,2001,2682240.19,6828.38,28.23,1021.13,74.02,88,55,40,7.0,2.415
west bengal,2001,36056792.24,91792.48,25.74,1600.02,73.31,85,40,45,6.2,2.094705882
